渠道,支付金额,折前金额,退货金额,销售数量,退货数量,平均售价,第三方用户Id,新用户,订单号,订单号,折扣率,退货率,客单价,件单价,去退货折扣率,新用户占比,交易成功比例,去退货折前金额,退货的折前金额
唯品会,3197788,5099758,161341,6044,294,844.33587659645,2340,1561,4785,252,0.62704700889728,0.050453938785185,1366.5760683761,529.08471211118,12.232159389035,0.66709401709402,0.94733542319749,4851523.2522806,248234.74771936
天猫,1063368.56,2590075,703350.66,3648,2241,710.40528511822,1717,1154,1991,836,0.41055512292115,0.66143638852742,619.31774024461,291.4935745614,0.22613930548105,0.67210250436808,0.58011049723757,998056.75605007,1592018.2439499
爱库存,30416.5,114990,13939.3,185,76,621.56756756757,122,98,140,8,0.26451430559179,0.45828086729242,249.31557377049,164.41351351351,0.34880401499444,0.80327868852459,0.94285714285714,67750.864864865,47239.135135135
小红书代购,23370,89894,10847,167,72,538.2874251497,114,106,162,64,0.25997285692037,0.46414206247326,205,139.94011976048,0.32311837027808,0.92982456140351,0.60493827160494,51137.305389222,38756.694610778
京东,45274.23,123307,24429.66,147,72,827.34965034965,58,32,69,9,0.36716674641342,0.53959305326673,780.59017241379,307.98795918367,0.34992208740805,0.55172413793103,0.8695652173913,63737.825174825,59569.174825175
得物,29754,68970,7995,126,35,547.38095238095,2,0,126,39,0.43140495867769,0.26870336761444,14877,236.14285714286,1.1357459765115,0,0.69047619047619,49811.666666667,19158.333333333
app,13199.4,7990,4779.45,22,6,363.18181818182,15,9,16,1,1.6519899874844,0.36209600436383,879.96,599.97272727273,3.8639737171464,0.6,0.9375,5810.9090909091,2179.0909090909
微信小程序,1099,1099,1099,1,1,1099,1,1,1,0,1,1,1099,1099,0,1,1,0,1099
,4404269.69,8096083,927781.07,10340,2797,5551.5085753444,4369,2961,7290,0,0.54400006645189,0.2106549179099,1008.07271458,425.944844294,0.22389135809729,0.67772945754177,1,-7431486.4852382,15527569.485238
